"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"173","Lolita Wikanda","F","SBD","Wraps",52,"50-54","F-OR",58,"60",70,75,-80,NA,75,50,-52.5,-52.5,NA,50,100,105,-110,NA,105,230,"17"
"174","Lucy Anthony","F","SBD","Wraps",35,"35-39","F-OR",57.6,"60",62.5,65,-70,NA,65,37.5,-42.5,-42.5,NA,37.5,67.5,70,75,NA,75,177.5,"19"
"175","Lucy Clarke","F","SBD","Wraps",20,"20-23","F-OR",55.4,"56",117.5,-125,127.5,NA,127.5,65,70,-72.5,NA,70,150,160,-165,NA,160,357.5,"2"
"176","Lyndall Vile","F","SBD","Wraps",26,"24-34","F-OR",72.9,"75",160,-167.5,-167.5,NA,160,77.5,82.5,-87.5,NA,82.5,-185,185,-190,NA,185,427.5,"1"
"177","Lyndall Ryan","F","SBD","Wraps",47,"45-49","F-OR",57.1,"60",-80,80,-95,NA,80,57.5,-62.5,-62.5,NA,57.5,122.5,132.5,140,NA,140,277.5,"13"
"178","Maddy Lane","F","SBD","Wraps",19,"18-19","F-OR",66.5,"67.5",80,90,100,NA,100,65,-70,-70,NA,65,110,120,130,NA,130,295,"11"
"179","Mahli Roberts","F","SBD","Wraps",24,"24-34","F-OR",67.4,"67.5",135,-140,-140,NA,135,85,-90,-90,NA,85,150,-160,-160,NA,150,370,"4"
"180","Maria Malouf","F","SBD","Wraps",25,"24-34","F-OR",51.7,"52",80,90,100,NA,100,37.5,42.5,-47.5,NA,42.5,110,120,127.5,NA,127.5,270,"4"
"181","Maryann Hearn","F","SBD","Wraps",47,"45-49","F-OR",55.2,"56",92.5,100,105,NA,105,40,42.5,45,NA,45,120,130,-137.5,NA,130,280,"11"
"182","Medina Hajdarevic","F","SBD","Wraps",24,"24-34","F-OR",87.8,"90",150,-165,165,177.5,165,70,75,-77.5,NA,75,160,170,175,NA,175,415,"2"
"183","Melanie Mead","F","SBD","Wraps",30,"24-34","F-OR",55.2,"56",105,-115,-115,NA,105,52.5,-57.5,-57.5,NA,52.5,140,-156,-157.5,NA,140,297.5,"9"
"184","Melissa Clarke","F","SBD","Wraps",31,"24-34","F-OR",106.4,"90+",175,190,195,NA,195,105,112.5,-120,NA,112.5,160,172.5,-180,NA,172.5,480,"3"
"185","Merryn Armstrong","F","SBD","Wraps",27,"24-34","F-OR",66,"67.5",140,150,-160,NA,150,-65,-70,-70,NA,NA,135,150,160,NA,160,NA,"DQ"
"186","Monique Mallasch","F","SBD","Wraps",23,"20-23","F-OR",76.6,"82.5",110,115,117.5,NA,117.5,52.5,-57.5,-57.5,NA,52.5,130,142.5,150,NA,150,320,"10"
"187","Paula Vico","F","SBD","Wraps",35,"35-39","F-OR",130.7,"90+",200,212.5,-220.5,NA,212.5,90,-95,-95,NA,90,170,182.5,-202.5,NA,182.5,485,"2"
"188","Pip Brown","F","SBD","Wraps",27,"24-34","F-OR",64.9,"67.5",137.5,150,155,NA,155,62.5,70,-72.5,NA,70,127.5,140,147.5,NA,147.5,372.5,"3"
"189","Rachel Hunt","F","SBD","Wraps",23,"20-23","F-OR",52,"52",117.5,125,130,NA,130,55,-57.5,-57.5,NA,55,127.5,140.5,145,-147.5,145,330,"1"
"190","Rae-Leigh Lyons","F","SBD","Wraps",23,"20-23","F-OR",55.1,"56",90,95,97.5,NA,97.5,52.5,55,57.5,NA,57.5,105,112.5,120,NA,120,275,"13"
"191","Rebecca Buckley","F","SBD","Wraps",28,"24-34","F-OR",86.2,"90",142.5,157.5,-167.5,NA,157.5,72.5,80,-82.5,NA,80,142.5,155,167.5,NA,167.5,405,"3"
"192","Rebecca Giles","F","SBD","Wraps",29,"24-34","F-OR",55.8,"56",115,122.5,-130,NA,122.5,70,72.5,-75,NA,72.5,130,140,147.5,NA,147.5,342.5,"5"
"193","Rebecca Gleich","F","SBD","Wraps",24,"24-34","F-OR",59.9,"60",-160,160,170,NA,170,77.5,82.5,-85,NA,82.5,155,167.5,170,NA,170,422.5,"1"
"194","Rebecca Sotomayor","F","SBD","Wraps",41,"40-44","F-OR",71.3,"75",120,140,-150,NA,140,60,-70,-70,NA,60,150,170,180,NA,180,380,"2"
"195","Rebecca Waring","F","SBD","Wraps",24,"24-34","F-OR",67.5,"67.5",115,-122.5,122.5,NA,122.5,55,60,-62.5,NA,60,132.5,-140,-140,NA,132.5,315,"10"
"196","Renee Blaikie","F","SBD","Wraps",37,"35-39","F-OR",85.6,"90",100,110,115,NA,115,60,65,70,-73,70,115,125,135,NA,135,320,"8"
"197","Renee Ludlow","F","SBD","Wraps",28,"24-34","F-OR",59.7,"60",90,97.5,102.5,NA,102.5,45,50,-52.5,NA,50,100,105,110,NA,110,262.5,"15"
"198","Rosemary Sherwin","F","SBD","Wraps",66,"65-69","F-OR",63.6,"67.5",-65,70,75,NA,75,27.5,30,-32.5,NA,30,95,102.5,110,NA,110,215,"17"
"199","Rosie Johnson","F","SBD","Wraps",23,"20-23","F-OR",64.6,"67.5",80,87.5,-95,NA,87.5,60,65,-67.5,NA,65,110,117.5,-122.5,NA,117.5,270,"14"
"200","Ruchell Hutton","F","SBD","Wraps",36,"35-39","F-OR",55.3,"56",100,-110,-112.5,NA,100,-42.5,-47.5,47.5,NA,47.5,100,-110,110,NA,110,257.5,"14"
"201","Ruth Jackson","F","SBD","Wraps",24,"24-34","F-OR",80.8,"82.5",-120,130,145,NA,145,85,90,-95,NA,90,120,130,140,NA,140,375,"5"
"202","Scout Symons","F","SBD","Wraps",23,"20-23","F-OR",72.4,"75",100,110,-120,NA,110,45,-50,-50,NA,45,110,120,-130,NA,120,275,"14"
"203","Sevasti Anastasiadis","F","SBD","Wraps",15,"13-15","F-OR",58.4,"60",80,90,95,NA,95,37.5,42.5,45,NA,45,105,115,-120,NA,115,255,"16"
"204","Sharyn Mellier","F","SBD","Wraps",43,"40-44","F-OR",79.6,"82.5",100,110,-117.5,NA,110,52.5,-57.5,-57.5,NA,52.5,140,150,155,NA,155,317.5,"11"
"205","Shelley Stark","F","SBD","Wraps",42,"40-44","F-OR",67.3,"67.5",60,NA,NA,NA,60,50,-55,55,NA,55,135,150,-155,NA,150,265,"15"
"206","Skye Holcombe","F","SBD","Wraps",23,"20-23","F-OR",60,"60",100,110,-120,NA,110,55,60,-65,NA,60,105,112.5,120,NA,120,290,"11"
