"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"374","Stuart O'Brien","M","SBD","Wraps",37,"35-39","M-OR",106.6,"110",285,295,300,NA,300,155,-162.5,-162.5,NA,155,270,-275,275,NA,275,730,"9"
"375","Taz Cox","M","SBD","Wraps",25,"24-34","M-OR",97.8,"100",210,222.5,230,NA,230,130,137.5,145,NA,145,215,227.5,-237.5,NA,227.5,602.5,"19"
"376","Terry Sparkes","M","SBD","Wraps",30,"24-34","M-OR",124.1,"125",260,280,290,NA,290,160,175,-185,NA,175,285,305,320,NA,320,785,"6"
"377","Theo Chetty","M","SBD","Wraps",23,"20-23","M-OR",82.3,"82.5",200,-215,-215,NA,200,120,-127.5,-127.5,NA,120,220,232.5,242.5,NA,242.5,562.5,"17"
"378","Thibault Panassie","M","SBD","Wraps",22,"20-23","M-OR",89.3,"90",-220,220,230,NA,230,145,-152.5,152.5,NA,152.5,230,242.5,-252.5,NA,242.5,625,"8"
"379","Thomas Muscgrove","M","SBD","Wraps",26,"24-34","M-OR",104,"110",195,212.5,-225,NA,212.5,140,-150,-150,NA,140,250,262.5,270,NA,270,622.5,"22"
"380","Thuan Truong","M","SBD","Wraps",20,"20-23","M-OR",75,"75",180,205,225,NA,225,120,132.5,137.5,NA,137.5,220,237.5,-250,NA,237.5,600,"4"
"381","Tim Rand","M","SBD","Wraps",27,"24-34","M-OR",121.1,"125",190,212.5,-230,NA,212.5,140,-147.5,147.5,NA,147.5,200,220,240,NA,240,600,"13"
"382","Tim Tomkinson","M","SBD","Wraps",25,"24-34","M-OR",107.4,"110",270,275,282.5,NA,282.5,-175,175,-185,NA,175,270,290,-310,NA,290,747.5,"7"
"383","Tim Wise","M","SBD","Wraps",31,"24-34","M-OR",98.6,"100",180,195,-200,NA,195,120,125,127.5,NA,127.5,220,230,242.5,NA,242.5,565,"22"
"384","Todd Whitelock","M","SBD","Wraps",23,"20-23","M-OR",107.3,"110",230,250,-260,NA,250,185,-190,-190,NA,185,-320,330,340,NA,340,775,"4"
"385","Travis van den Berg","M","SBD","Wraps",31,"24-34","M-OR",81.5,"82.5",150,170,-175,NA,170,100,110,-112.5,NA,110,200,210,-220,NA,210,490,"23"
"386","Trent Dal Molin","M","SBD","Wraps",19,"18-19","M-OR",73.1,"75",155,162.5,175,NA,175,105,-112.5,-112.5,NA,105,190,202.5,-220,NA,202.5,482.5,"12"
"387","Trent Graw","M","SBD","Wraps",23,"20-23","M-OR",122.2,"125",270,290,305,NA,305,193,-202.5,202.5,NA,202.5,255,270,295,NA,295,802.5,"5"
"388","Trent Harris","M","SBD","Wraps",18,"18-19","M-OR",99.8,"100",-285,285,-300,NA,285,165,175,180,NA,180,250,262.5,NA,NA,262.5,727.5,"7"
"389","Trent Nguyen","M","SBD","Wraps",37,"35-39","M-OR",75,"75",-175,175,190,NA,190,115,127.5,-130,NA,127.5,210,220,227.5,NA,227.5,545,"7"
"390","Tristan Steele","M","SBD","Wraps",23,"20-23","M-OR",108.6,"110",257.5,270,280,NA,280,162.5,175,180,NA,180,-270,285,-300,NA,285,745,"8"
"391","Tyler Hope","M","SBD","Wraps",25,"24-34","M-OR",82.4,"82.5",240,255,-265,NA,255,140,147.5,152.5,NA,152.5,260,265,-272.5,NA,265,672.5,"6"
"392","Vern Hicks","M","SBD","Wraps",36,"35-39","M-OR",88.1,"90",-220,220,-240,NA,220,130,140,-147.5,NA,140,220,240,252.5,NA,252.5,612.5,"9"
"393","Warren Hills","M","SBD","Wraps",66,"65-69","M-OR",103,"110",100,110,-112.5,NA,110,-70,75,-77.5,NA,75,135,150,NA,NA,150,335,"33"
"394","William Crozier","M","SBD","Wraps",25,"24-34","M-OR",100,"100",290,NA,NA,NA,290,160,NA,NA,NA,160,325,NA,NA,NA,325,NA,"DQ"
"395","Will Hunt","M","SBD","Wraps",27,"24-34","M-OR",121.9,"125",-250,250,270,NA,270,165,-172.5,NA,NA,165,75,NA,NA,NA,75,510,"15"
"396","Zachary Turner","M","SBD","Wraps",21,"20-23","M-OR",150.6,"140+",300,315,-325,NA,315,200,210,-217.5,NA,210,250,265,-277.5,NA,265,790,"4"
"397","Emily Knauth","F","SBD","Multi-ply",28,"24-34","F-OE",80.8,"82.5",140,-145.5,145.5,NA,145.5,-82.5,82.5,-87.5,NA,82.5,120,130,135,NA,135,362.5,"1"
"398","John Sheridan","M","SBD","Multi-ply",26,"24-34","M-OE",136.5,"140",380,410,-430,NA,410,-210,-210,210,NA,210,235,250,260,NA,260,880,"1"
"399","Josh Vale","M","SBD","Multi-ply",26,"24-34","M-OE",81.2,"82.5",210,-220,220,NA,220,95,102.5,112.5,NA,112.5,190,200,210,NA,210,542.5,"1"
"400","Ron Birch","M","SBD","Multi-ply",70,"70-74","M-OE",98.7,"100",170,192.5,NA,NA,192.5,-110,115,120,NA,120,165,187.5,NA,NA,187.5,500,"3"
"401","Shane Atta-Singh","M","SBD","Multi-ply",31,"24-34","M-OE",165,"140+",-300,-325,335,NA,335,240,265,272.5,NA,272.5,270,292.5,NA,NA,292.5,900,"1"
"402","Simon Wang","M","SBD","Multi-ply",32,"24-34","M-OE",95.2,"100",-270,280,-295,NA,280,190,-200,-200,NA,190,220,240,255,NA,255,725,"2"
"403","Taryn Madeley","F","SBD","Multi-ply",24,"24-34","F-OE",52,"52",135,-145,-145,NA,135,80,85,90,NA,90,135,145,-155,NA,145,370,"1"
"404","Thomas Lilley","M","SBD","Multi-ply",25,"24-34","M-OE",99.4,"100",340,360,375,NA,375,215,-227.5,227.5,NA,227.5,320,-340,-360,NA,320,922.5,"1"
"405","Tim O'Shea","M","SBD","Multi-ply",37,"35-39","M-OE",137.7,"140",-330,340,-365,NA,340,220,-240,-252.5,NA,220,280,300,-322.5,NA,300,860,"2"
"406","Emily Knauth","F","SBD","Multi-ply",28,"24-34","F-OE",80.8,"82.5",140,-145.5,145.5,NA,145.5,-82.5,82.5,-87.5,NA,82.5,120,130,135,NA,135,362.5,"1"
"407","John Sheridan","M","SBD","Multi-ply",26,"24-34","M-OE",136.5,"140",380,410,-430,NA,410,-210,-210,210,NA,210,235,250,260,NA,260,880,"1"
"408","Josh Vale","M","SBD","Multi-ply",26,"24-34","M-OE",81.2,"82.5",210,-220,220,NA,220,95,102.5,112.5,NA,112.5,190,200,210,NA,210,542.5,"1"
"409","Ron Birch","M","SBD","Multi-ply",70,"70-74","M-OE",98.7,"100",170,192.5,NA,NA,192.5,-110,115,120,NA,120,165,187.5,NA,NA,187.5,500,"3"
"410","Shane Atta-Singh","M","SBD","Multi-ply",31,"24-34","M-OE",165,"140+",-300,-325,335,NA,335,240,265,272.5,NA,272.5,270,292.5,NA,NA,292.5,900,"1"
"411","Simon Wang","M","SBD","Multi-ply",32,"24-34","M-OE",95.2,"100",-270,280,-295,NA,280,190,-200,-200,NA,190,220,240,255,NA,255,725,"2"
"412","Taryn Madeley","F","SBD","Multi-ply",24,"24-34","F-OE",52,"52",135,-145,-145,NA,135,80,85,90,NA,90,135,145,-155,NA,145,370,"1"
"413","Thomas Lilley","M","SBD","Multi-ply",25,"24-34","M-OE",99.4,"100",340,360,375,NA,375,215,-227.5,227.5,NA,227.5,320,-340,-360,NA,320,922.5,"1"
"414","Tim O'Shea","M","SBD","Multi-ply",37,"35-39","M-OE",137.7,"140",-330,340,-365,NA,340,220,-240,-252.5,NA,220,280,300,-322.5,NA,300,860,"2"
"415","Alex Biasin","M","B","Raw",47,"45-49","M-OR",113.2,"125",NA,NA,NA,NA,NA,130,-140,-140,NA,130,NA,NA,NA,NA,NA,130,"2"
"416","Alex Zerba","M","B","Multi-ply",28,"24-34","M-OE",123.2,"125",NA,NA,NA,NA,NA,230,245,255,NA,255,NA,NA,NA,NA,NA,255,"1"
"417","Annie Short","F","B","Raw",21,"20-23","F-OR",78.7,"82.5",NA,NA,NA,NA,NA,87.5,95,100,-102.5,100,NA,NA,NA,NA,NA,100,"1"
"418","Brett Worland","M","B","Raw",23,"20-23","M-OR",98.1,"100",NA,NA,NA,NA,NA,185,195,-202.5,NA,195,NA,NA,NA,NA,NA,195,"1"
"419","Carmen Wiseman","F","B","Raw",38,"35-39","F-OR",64.8,"67.5",NA,NA,NA,NA,NA,55,65,-70,NA,65,NA,NA,NA,NA,NA,65,"2"
"420","Chris Davey #2","M","B","Raw",32,"24-34","M-OR",88.6,"90",NA,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,60,"2"
"421","Eru Leokava-Taani","M","B","Raw",30,"24-34","M-OR",108.4,"110",NA,NA,NA,NA,NA,225,235,-242.5,NA,235,NA,NA,NA,NA,NA,235,"1"
"422","Esther Smithard","F","B","Multi-ply",48,"45-49","F-OE",63.4,"67.5",NA,NA,NA,NA,NA,115,-120,-120,NA,115,NA,NA,NA,NA,NA,115,"1"
"423","Frank Harmond","M","B","Raw",65,"65-69","M-OR",97,"100",NA,NA,NA,NA,NA,-105,110,-115,NA,110,NA,NA,NA,NA,NA,110,"2"
"424","Grant Sandow","M","B","Raw",53,"50-54","M-OR",118.2,"125",NA,NA,NA,NA,NA,165,175,-182.5,NA,175,NA,NA,NA,NA,NA,175,"1"
"425","Greg Hardy","M","B","Raw",18,"18-19","M-OR",87.7,"90",NA,NA,NA,NA,NA,130,-135,-135,NA,130,NA,NA,NA,NA,NA,130,"1"
"426","Jamie Christensen","M","B","Raw",26,"24-34","M-OR",67.5,"67.5",NA,NA,NA,NA,NA,135,-143,143,-145,143,NA,NA,NA,NA,NA,142.5,"1"
"427","Jodie Dobush","F","B","Raw",38,"35-39","F-OR",81.8,"82.5",NA,NA,NA,NA,NA,80,-90,90,NA,90,NA,NA,NA,NA,NA,90,"2"
"428","Kate Holt","F","B","Raw",33,"24-34","F-OR",59.1,"60",NA,NA,NA,NA,NA,95,105,110,NA,110,NA,NA,NA,NA,NA,110,"1"
"429","Melissa Clarke","F","B","Raw",31,"24-34","F-OR",106.3,"90+",NA,NA,NA,NA,NA,100,107.5,110,NA,110,NA,NA,NA,NA,NA,110,"1"
"430","Michael Watt","M","B","Raw",32,"24-34","M-OR",72.8,"75",NA,NA,NA,NA,NA,135,142.5,-150,NA,142.5,NA,NA,NA,NA,NA,142.5,"1"
"431","Michelle Warren","F","B","Raw",54,"50-54","F-OR",65.1,"67.5",NA,NA,NA,NA,NA,65,67.5,-71,NA,67.5,NA,NA,NA,NA,NA,67.5,"1"
"432","Shane Atta-Singh","M","B","Multi-ply",31,"24-34","M-OE",165,"140+",NA,NA,NA,NA,NA,270,-285,-285,NA,270,NA,NA,NA,NA,NA,270,"1"
"433","Steve Hampton","M","B","Raw",46,"45-49","M-OR",105.7,"110",NA,NA,NA,NA,NA,155,160,167.5,-172.5,167.5,NA,NA,NA,NA,NA,167.5,"2"
"434","Stojan Stojanovic","M","B","Raw",35,"35-39","M-OR",108,"110",NA,NA,NA,NA,NA,150,-157.5,-157.5,NA,150,NA,NA,NA,NA,NA,150,"3"
"435","Callan Hayward","M","B","Raw",24,"24-34","M-OR",67.5,"67.5",NA,NA,NA,NA,NA,130,135,142.5,-145,142.5,NA,NA,NA,NA,NA,142.5,"1"
"436","Wayne Kollen","M","B","Raw",44,"40-44","M-OR",98,"100",NA,NA,NA,NA,NA,125,130,-135,NA,130,NA,NA,NA,NA,NA,130,"2"
"437","Nick Edlin","M","B","Raw",35,"35-39","M-OR",90.6,"100",NA,NA,NA,NA,NA,135,140,-145,NA,140,NA,NA,NA,NA,NA,140,"1"
"438","Andrew Nguyen","M","B","Raw",28,"24-34","M-OR",80.5,"82.5",NA,NA,NA,NA,NA,145,152.5,-157.5,NA,152.5,NA,NA,NA,NA,NA,152.5,"1"
"439","Jo Ravalo","M","B","Raw",44,"40-44","M-OR",85.5,"90",NA,NA,NA,NA,NA,150,-160,-160,NA,150,NA,NA,NA,NA,NA,150,"2"
"440","Matt Stenzel","M","B","Raw",23,"20-23","M-OR",102.4,"110",NA,NA,NA,NA,NA,167.5,177.5,-185,NA,177.5,NA,NA,NA,NA,NA,177.5,"2"
"441","Aaron De Cinque","M","B","Raw",26,"24-34","M-OR",86.4,"90",NA,NA,NA,NA,NA,180,185,-190,NA,185,NA,NA,NA,NA,NA,185,"1"
"442","Josh Tait","M","B","Raw",26,"24-34","M-OR",108,"110",NA,NA,NA,NA,NA,205,212.5,-225,NA,212.5,NA,NA,NA,NA,NA,212.5,"1"
"443","Laird Ross","M","B","Multi-ply",22,"20-23","M-OE",94,"100",NA,NA,NA,NA,NA,230,-245,245,NA,245,NA,NA,NA,NA,NA,245,"1"
"444","Luke Poli","M","B","Multi-ply",35,"35-39","M-OE",146.5,"140+",NA,NA,NA,NA,NA,240,250,260,NA,260,NA,NA,NA,NA,NA,260,"1"
"445","Shane Atta-Singh","M","B","Multi-ply",29,"24-34","M-OE",155.8,"140+",NA,NA,NA,NA,NA,-270,-270,-270,NA,NA,NA,NA,NA,NA,NA,NA,"DQ"
"446","Alana Andrews","F","B","Raw",31,"24-34","F-OR",47.5,"48",NA,NA,NA,NA,NA,60,67.5,70,NA,70,NA,NA,NA,NA,NA,70,"1"
"447","Fiona Morris","M","B","Raw",26,"24-34","M-OR",62.5,"67.5",NA,NA,NA,NA,NA,70,72.5,-75,NA,72.5,NA,NA,NA,NA,NA,72.5,"2"
"448","Nina Markopoulos","F","B","Raw",48,"45-49","F-OR",59.9,"60",NA,NA,NA,NA,NA,70,75,77.5,80.5,77.5,NA,NA,NA,NA,NA,77.5,"1"
"449","Kevin Rogers","M","B","Raw",49,"45-49","M-OR",55.9,"56",NA,NA,NA,NA,NA,70,80,-82.5,NA,80,NA,NA,NA,NA,NA,80,"1"
"450","Coralie Weir","F","B","Raw",51,"50-54","F-OR",51.6,"52",NA,NA,NA,NA,NA,75,80,82.5,NA,82.5,NA,NA,NA,NA,NA,82.5,"1"
"451","Yolandie Weir","F","B","Multi-ply",27,"24-34","F-OE",46.1,"48",NA,NA,NA,NA,NA,80,85,87.5,-90,87.5,NA,NA,NA,NA,NA,87.5,"1"
"452","Emma Bortolotto","F","B","Multi-ply",28,"24-34","F-OE",82.4,"82.5",NA,NA,NA,NA,NA,-90.5,90.5,-95,NA,90.5,NA,NA,NA,NA,NA,90.5,"1"
"453","Katie Foster","F","B","Multi-ply",25,"24-34","F-OE",71.8,"75",NA,NA,NA,NA,NA,-110,-110,110,NA,110,NA,NA,NA,NA,NA,110,"1"
"454","Coralie Weir","F","SBD","Multi-ply",51,"50-54","F-OE",51.5,"52",120,130,140,NA,140,90,100,105,NA,105,155,160,170,NA,170,415,"1"
"455","Ray Carlisle","M","SBD","Multi-ply",27,"24-34","M-OE",80.1,"82.5",225,240,250,NA,250,140,150,157.5,NA,157.5,210,225,240,250,240,647.5,"1"
"456","Adam Lam","M","SBD","Multi-ply",31,"24-34","M-OE",89.6,"90",245,260,272.5,NA,272.5,160,175,-190,NA,175,240,252.5,-272.5,NA,252.5,700,"1"
"457","Brendan Hains","M","SBD","Multi-ply",44,"40-44","M-OE",90,"90",-300,-310,-310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DQ"
"458","Glen Stewart","M","SBD","Multi-ply",45,"45-49","M-OE",98.1,"100",270,-300,-320,NA,270,210,220,-230,NA,220,275,-300,-310,NA,275,765,"1"
"459","Simon Wang","M","SBD","Multi-ply",31,"24-34","M-OE",95.4,"100",-255,255,275,NA,275,180,190,-200,NA,190,240,-255,-255,NA,240,705,"2"
"460","Barry Murray","M","SBD","Multi-ply",55,"55-59","M-OE",99.3,"100",210,220,NA,NA,220,157.5,162.5,-170,NA,162.5,190,210,230,-240,230,612.5,"3"
"461","Ron Birch","M","SBD","Multi-ply",68,"65-69","M-OE",100.2,"110",185,205,NA,NA,205,110,-120,NA,NA,110,175,-207.5,NA,NA,175,490,"1"
"462","John Sheridan","M","SBD","Multi-ply",24,"24-34","M-OE",125,"125",370,400,-425,NA,400,60,190,-220,NA,190,210,230,245,NA,245,835,"1"
"463","Alex Zerba","M","SBD","Multi-ply",26,"24-34","M-OE",110.5,"125",310,330,340,NA,340,190,200,210,NA,210,240,260,270,NA,270,820,"2"
"464","Leo Vangelovski","M","SBD","Multi-ply",44,"40-44","M-OE",123.1,"125",295,-307.5,-307.5,NA,295,182.5,192.5,200,NA,200,275,285,290,-292.5,290,785,"3"
"465","Tim O'Shea","M","SBD","Multi-ply",35,"35-39","M-OE",140.6,"140+",310,320,-330,NA,320,215,220,227.5,NA,227.5,260,272.5,280.5,NA,280.5,828,"1"
"466","Yolandie Weir","F","SBD","Wraps",27,"24-34","F-OR",46.1,"48",100,-110,-110,NA,100,65,70,72.5,NA,72.5,-75,130,135,-137.5,135,307.5,"1"
"467","Alana Andrews","F","SBD","Wraps",31,"24-34","F-OR",47.5,"48",-110,115,120,NA,120,65,67.5,-70.5,NA,67.5,120,-127.5,-127.5,NA,120,307.5,"2"
"468","Coralie Weir","F","SBD","Wraps",51,"50-54","F-OR",51.6,"52",-120,-120,120,NA,120,75,80,82.5,NA,82.5,135,140,-145,NA,140,342.5,"1"
"469","Taryn Madeley","F","SBD","Wraps",22,"20-23","F-OR",52,"52",87.5,95,-100,NA,95,55,60,-63,NA,60,115,122.5,127.5,132.5,127.5,282.5,"2"
"470","Melissa Knight","F","SBD","Wraps",24,"24-34","F-OR",49.2,"52",85,-92.5,-92.5,NA,85,47.5,-50,52.5,NA,52.5,97.5,105,110,NA,110,247.5,"3"
"471","Deborah Chen","F","SBD","Wraps",26,"24-34","F-OR",51.9,"52",95,100,-105,NA,100,-35,37.5,40,NA,40,95,100,105,NA,105,245,"4"
"472","Yvonne Wagstaff","F","SBD","Wraps",46,"45-49","F-OR",50.1,"52",55,62.5,67.5,NA,67.5,35,42.5,45,NA,45,97.5,107.5,115,NA,115,227.5,"5"
"473","Joanne Huynh","F","SBD","Wraps",20,"20-23","F-OR",50.9,"52",-62.5,72.5,-80,NA,72.5,37.5,42.5,-47.5,NA,42.5,80,90,-100,NA,90,205,"6"
"474","Patricia Merzen Viola","F","SBD","Wraps",23,"20-23","F-OR",49.5,"52",70,80,-85,NA,80,30,32.5,-35,NA,32.5,80,-90,90,NA,90,202.5,"7"
"475","Sussy Kollen","F","SBD","Wraps",42,"40-44","F-OR",56,"56",110,-117.5,-120,NA,110,70,-75,75,NA,75,115,122.5,-130,NA,122.5,307.5,"1"
"476","Vicki Jewson","F","SBD","Wraps",41,"40-44","F-OR",56,"56",90,97.5,102.5,NA,102.5,55,57.5,-60,NA,57.5,122.5,132.5,140,NA,140,300,"2"
"477","Sharnee Griffiths","F","SBD","Wraps",20,"20-23","F-OR",54.6,"56",77.5,90,102.5,NA,102.5,45,57.5,60,NA,60,102.5,115,130,NA,130,292.5,"3"
"478","Sharon Wilkins","F","SBD","Wraps",37,"35-39","F-OR",53.6,"56",57.5,67.5,77.5,NA,77.5,40,45,52.5,NA,52.5,115,125,130,NA,130,260,"4"
"479","Megan Dennis","F","SBD","Wraps",22,"20-23","F-OR",54.3,"56",80,-90,-90,NA,80,45,-50,-50,NA,45,105,115,117.5,-125,117.5,242.5,"5"
"480","Anna Bailey","F","SBD","Wraps",26,"24-34","F-OR",56,"56",75,82.5,-90,NA,82.5,32.5,35,-40,NA,35,90,102.5,112.5,NA,112.5,230,"6"
"481","Lolita Wikander","F","SBD","Wraps",50,"50-54","F-OR",54.9,"56",60,65,-70,NA,65,50,52.5,-55,NA,52.5,100,110,-115,NA,110,227.5,"7"
"482","Rebecca Gleich","F","SBD","Wraps",22,"20-23","F-OR",59.7,"60",125,135,142.5,NA,142.5,65,70,70.5,NA,70.5,-135,135,143,NA,143,356,"1"
"483","Nina Markopoulos","F","SBD","Wraps",48,"45-49","F-OR",59.9,"60",105,115,120,NA,120,70,75,-80.5,NA,75,130,140,145,150,145,340,"2"
"484","Michelle Warren","F","SBD","Wraps",52,"50-54","F-OR",59.6,"60",100,105,110,NA,110,47.5,52.5,-57.5,NA,52.5,117.5,122.5,125,130,125,287.5,"3"
"485","Keola Westcott","F","SBD","Wraps",30,"24-34","F-OR",59,"60",-100,-105,105,NA,105,40,45,-47.5,NA,45,105,115,125,NA,125,275,"4"
"486","Sonia Taylor","F","SBD","Wraps",47,"45-49","F-OR",58.7,"60",75,87.5,-95,NA,87.5,52.5,60,-62.5,NA,60,110,117.5,122.5,NA,122.5,270,"5"
"487","Lisa van der Hout","F","SBD","Wraps",20,"20-23","F-OR",58.9,"60",60,67.5,70,NA,70,35,-40,-40,NA,35,60,65,70,NA,70,175,"6"
"488","Heidi Stewart","F","SBD","Wraps",30,"24-34","F-OR",63.3,"67.5",130,140,-145,NA,140,67.5,75,-77.5,NA,75,140,162.5,170,NA,170,385,"1"
"489","Tierney Molenaar","F","SBD","Wraps",21,"20-23","F-OR",62.7,"67.5",115,122.5,127.5,NA,127.5,65,72.5,-77.5,NA,72.5,120,127.5,135,NA,135,335,"2"
"490","Amy Hapgood","F","SBD","Wraps",22,"20-23","F-OR",66.7,"67.5",100,110,115,NA,115,65,-70,72.5,NA,72.5,130,140,-145,NA,140,327.5,"3"
"491","Cat King","F","SBD","Wraps",27,"24-34","F-OR",66,"67.5",-100,105,-117.5,NA,105,67.5,72.5,75,NA,75,125,130,135,NA,135,315,"4"
"492","Megan Reilly","F","SBD","Wraps",35,"35-39","F-OR",66.9,"67.5",-110,110,-115.5,NA,110,60,65,67.5,NA,67.5,112.5,120,127.5,132.5,127.5,305,"5"
"493","Ariel Symon","F","SBD","Wraps",20,"20-23","F-OR",64.9,"67.5",105,117.5,125,NA,125,-60,60,62.5,NA,62.5,100,112.5,-120,NA,112.5,300,"6"
"494","Tish Wasson","F","SBD","Wraps",23,"20-23","F-OR",61.6,"67.5",95,102.5,-107.5,NA,102.5,45,50,55,NA,55,117.5,122.5,130,NA,130,287.5,"7"
"495","Ebonie Lazdovskis","F","SBD","Wraps",17,"16-17","F-OR",61.8,"67.5",80,-105,110,NA,110,40,45,50,NA,50,90,105,115,NA,115,275,"8"
"496","Alicia Bondaruk","F","SBD","Wraps",31,"24-34","F-OR",64.1,"67.5",60,70,80,NA,80,60,70,-82.5,NA,70,120,125,-132.5,NA,125,275,"9"
"497","Rhiannan Smith","F","SBD","Wraps",23,"20-23","F-OR",61.1,"67.5",60,70,-75,NA,70,50,55,57.5,NA,57.5,100,110,120,NA,120,247.5,"10"
"498","Steph Finnin","F","SBD","Wraps",22,"20-23","F-OR",65,"67.5",80,87.5,-92.5,NA,87.5,40,42.5,-47.5,NA,42.5,100,-110,-110,NA,100,230,"11"
"499","Katie Foster","F","SBD","Wraps",25,"24-34","F-OR",71.8,"75",130,140,152.5,NA,152.5,65,-70,72.5,NA,72.5,150,162.5,-183,NA,162.5,387.5,"1"
"500","Shandelle Ross","F","SBD","Wraps",40,"40-44","F-OR",70.9,"75",75,85,92.5,NA,92.5,55,62.5,-67.5,NA,62.5,115,125,132.5,NA,132.5,287.5,"2"
"501","Kristie Calder","F","SBD","Wraps",40,"40-44","F-OR",71.2,"75",82.5,92.5,97.5,NA,97.5,40,-47.5,-47.5,NA,40,127.5,137.5,142.5,145,142.5,280,"3"
"502","Mel McKinnon","F","SBD","Wraps",25,"24-34","F-OR",72.7,"75",90,95,100,NA,100,42.5,45,47.5,NA,47.5,-105,112.5,117.5,NA,117.5,265,"4"
"503","Gemella Davies","F","SBD","Wraps",20,"20-23","F-OR",74.1,"75",85,-92.5,-92.5,NA,85,40,45,47.5,50,47.5,100,110,-112.5,NA,110,242.5,"5"
"504","Jay Hamdi Jama","F","SBD","Wraps",22,"20-23","F-OR",70.4,"75",80,85,-87.5,NA,85,30,35,37.5,NA,37.5,85,95,105,NA,105,227.5,"6"
"505","Ashley Bigarin","F","SBD","Wraps",26,"24-34","F-OR",70.6,"75",45,52.5,-57.5,NA,52.5,40,47.5,50,NA,50,95,105,-110,NA,105,207.5,"7"
"506","Emma Bortolotto","F","SBD","Wraps",28,"24-34","F-OR",82.4,"82.5",125,132.5,137.5,NA,137.5,65,70,-75,NA,70,125,135,145,NA,145,352.5,"1"
"507","Julia Knights","F","SBD","Wraps",30,"24-34","F-OR",77.9,"82.5",-110,-110,110,NA,110,50,-55,-57.5,NA,50,120,125,-130,NA,125,285,"2"
"508","Melisa Laszlo","F","SBD","Wraps",29,"24-34","F-OR",82.9,"90",100,110,120,NA,120,75,82.5,-87.5,NA,82.5,105,112.5,117.5,-125,117.5,320,"1"
"509","Nicola Fitzharris","F","SBD","Wraps",32,"24-34","F-OR",87.1,"90",90,-100,100,NA,100,50,55,-57.5,NA,55,105,110,-115,NA,110,265,"2"
"510","Shirley Hetherton","F","SBD","Wraps",63,"60-64","F-OR",87.8,"90",55,65,-75,NA,65,42.5,45,47.5,NA,47.5,100,105,-107.5,NA,105,217.5,"3"
"511","Rebecca Zepackic","F","SBD","Wraps",36,"35-39","F-OR",99.7,"90+",150,160,165,NA,165,62.5,65,67.5,-72.5,67.5,167.5,175,180,-186,180,412.5,"1"
"512","Rebeca Sotomayor","F","SBD","Wraps",30,"24-34","F-OR",65.3,"67.5",120,-145,-145,NA,120,-60,-60,-60,NA,NA,NA,NA,NA,NA,NA,NA,"DQ"
"513","Marlon John","M","SBD","Wraps",22,"20-23","M-OR",55,"56",115,125,130,135,130,80,85,-87.5,NA,85,130,137.5,-141,NA,137.5,352.5,"1"
"514","Chris Stamatiou","M","SBD","Wraps",23,"20-23","M-OR",67.5,"67.5",205,215,222.5,NA,222.5,135,142.5,-147.5,NA,142.5,230,245,-250,NA,245,610,"1"
"515","Yianni Magoulias","M","SBD","Wraps",21,"20-23","M-OR",67.2,"67.5",200,-210,210,NA,210,120,125,127.5,NA,127.5,220,230,240,-245.5,240,577.5,"2"
"516","Aris Juico","M","SBD","Wraps",24,"24-34","M-OR",67.1,"67.5",170,180,NA,NA,180,110,-115,-115,NA,110,185,195,-202.5,NA,195,485,"3"
"517","Jesse Markopoulos","M","SBD","Wraps",19,"18-19","M-OR",66.7,"67.5",165,170,-175,NA,170,105,110,-115.5,NA,110,180,192.5,-202.5,NA,192.5,472.5,"4"
"518","Luke Bender","M","SBD","Wraps",25,"24-34","M-OR",67.2,"67.5",120,-125,125,NA,125,95,100,-105,NA,100,180,190,202.5,NA,202.5,427.5,"5"
"519","Gary Young #1","M","SBD","Wraps",30,"24-34","M-OR",73.1,"75",210,-225,-227.5,NA,210,125,-135,135,NA,135,242.5,252.5,-261,NA,252.5,597.5,"1"
"520","Robbie Tissera","M","SBD","Wraps",24,"24-34","M-OR",75,"75",215,NA,NA,NA,215,127.5,132.5,-135,NA,132.5,215,227.5,232.5,NA,232.5,580,"2"
"521","Darwin Suteerawanit","M","SBD","Wraps",17,"16-17","M-OR",73.5,"75",195,205,-210,NA,205,105,110,112.5,NA,112.5,245,255,260.5,NA,260.5,578,"3"
"522","Allen Ozdil","M","SBD","Wraps",19,"18-19","M-OR",74.2,"75",195,210,-220.5,NA,210,112.5,-122.5,122.5,-131.5,122.5,200,220,225,-235,225,557.5,"4"
"523","Michael Watt","M","SBD","Wraps",30,"24-34","M-OR",71.1,"75",165,175,180,NA,180,120,130,-140,NA,130,210,220,230,NA,230,540,"5"
"524","Jim Ambrose","M","SBD","Wraps",61,"60-64","M-OR",72.9,"75",160,170,-175,NA,170,120,125,-130,NA,125,220,-225,-225,NA,220,515,"6"
